id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
54694,Home in Queens · ★4.35 · 1 bedroom · 1 bed · 1 shared bath,27848,Jullett,Queens,Jamaica,40.67144,-73.76501,Private room,65,30,62,01/01/2018,0.39,2,0,0,
55959,Rental unit in Brooklyn · ★4.83 · 1 bedroom · 1 bed · 1 shared bath,168525,Gus,Brooklyn,Williamsburg,40.71065,-73.95087,Private room,154,30,102,01/08/2023,0.83,2,33,8,
56859,Rental unit in New York · ★4.66 · 1 bedroom · 1 bed · 1 shared bath,256161,Wayne,Manhattan,Harlem,40.81201,-73.94452,Shared room,96,30,270,21/08/2023,1.74,4,59,31,
57166,Rental unit in Astoria · ★4.88 · 1 bedroom · 2 beds · 1 bath,272006,Vasili,Queens,Ditmars Steinway,40.772472,-73.906075,Entire home/apt,175,30,147,04/09/2023,0.94,1,323,43,
57297,Rental unit in Brooklyn · ★4.68 · 1 bedroom · 1 bed · 1 bath,199392,S.M.,Brooklyn,Brooklyn Heights,40.69003,-73.99338,Entire home/apt,326,30,288,07/08/2023,1.86,1,117,19,
57618,Rental unit in New York · ★4.83 · 1 bedroom · 1 bed · 1 bath,274557,Ana,Manhattan,Hell's Kitchen,40.76505,-73.98716,Entire home/apt,250,30,131,18/04/2023,0.88,1,0,9,
58059,Rental unit in New York · ★4.71 · 1 bedroom · 1 bed · 1.5 baths,277379,Agnes,Manhattan,Harlem,40.8238,-73.94444,Private room,56,30,678,28/07/2023,4.5,2,333,62,
59014,Rental unit in New York · ★4.67 · 1 bedroom · 1 bed · 1 bath,282927,Drica,Manhattan,Lower East Side,40.71946,-73.98641,Entire home/apt,250,30,60,27/06/2023,0.39,1,299,2,
59121,Rental unit in Queens · ★4.75 · 3 bedrooms · 6 beds · 1 bath,204539,Mark,Queens,Ridgewood,40.70271,-73.8993,Entire home/apt,262,30,4,10/02/2023,0.03,9,345,2,
59709,Rental unit in New York · ★4.76 · 2 bedrooms · 2 beds · 1 bath,186084,Ricardo & Ashlie,Manhattan,Chinatown,40.7178,-73.9932,Shared room,325,30,74,17/08/2023,0.49,2,128,21,
60164,Loft in New York · ★4.39 · 3 bedrooms · 3 beds · 1 bath,289653,Harrison,Manhattan,Tribeca,40.72012,-74.00397,Entire home/apt,500,30,110,18/11/2022,0.75,1,137,1,
60181,Rental unit in New York · ★4.80 · 1 bedroom · 1 bed · 1 bath,128806,Sue,Manhattan,East Village,40.7253,-73.98028,Entire home/apt,161,31,38,01/08/2022,0.25,1,0,0,
60457,Rental unit in New York · ★4.88 · 1 bedroom · 1 bed · 1 bath,99212,Jessica,Manhattan,Greenwich Village,40.73072,-73.99275,Entire home/apt,250,30,10,21/08/2019,0.06,1,0,0,
60611,Rental unit in New York · ★4.84 · 1 bedroom · 1 bed · 1 bath,292204,Blanca,Manhattan,East Harlem,40.79266739,-73.9465332,Shared room,125,30,195,21/07/2023,1.29,4,148,3,
60666,Rental unit in New York · ★4.74 · 1 bedroom · 2 beds · 1.5 baths,256161,Wayne,Manhattan,Harlem,40.81006,-73.94559,Private room,140,30,277,24/08/2023,1.79,4,36,36,
60673,Rental unit in New York · ★5.0 · 1 bedroom · 1 bed · 1 bath,249372,Cynthia,Manhattan,Harlem,40.81562,-73.94674,Private room,125,30,3,20/10/2019,0.05,1,0,0,
60680,Rental unit in New York · ★4.53 · 1 bedroom · 2 beds · 1 bath,292630,Mich,Manhattan,East Village,40.72598,-73.97978,Entire home/apt,150,30,165,03/08/2022,1.06,6,362,0,
60794,Rental unit in New York · ★5.0 · 3 bedrooms · 3 beds · 1 bath,293394,Rachel,Manhattan,Upper West Side,40.79918,-73.96248,Entire home/apt,211,30,4,25/08/2017,0.03,1,0,0,
61509,Rental unit in New York · ★4.23 · 1 bedroom · 1 bed · 1 bath,23619,Anna/Fonzy,Manhattan,Midtown,40.75743,-73.96825,Shared room,110,200,92,30/04/2019,0.6,1,0,0,
62891,Rental unit in New York · ★4.30 · 1 bedroom · 2 beds · 1 shared bath,306545,Olivia,Manhattan,East Village,40.72297,-73.98265,Shared room,175,30,240,17/08/2023,1.55,1,303,24,
62925,Home in Brooklyn · ★4.81 · 2 bedrooms · 2 beds · 2 baths,306739,Maya,Brooklyn,Greenpoint,40.72967,-73.95352,Entire home/apt,327,30,169,15/08/2023,1.11,2,115,16,
63588,Home in Bronx · 2 bedrooms · 2 beds · 1 shared bath,295128,Carol Gloria,Bronx,Clason Point,40.81161,-73.85499,Private room,89,30,0,,,6,318,0,
